review_id,verdict,question,reference_answer,evidence_quote
r0000,purge,Is development under a Community Right to Build Order subject to the same charges as other developments?,"no, it may be liable to pay a Community Infrastructure Levy charge where one applies",Development carried out under a Community Right to Build Order may be liable to pay a Community Infrastructure Levy charge where one applies.
r0001,rewrite,"Under what circumstances can a property's Council Tax band be legally removed from the list, and how does this affect properties currently used for business purposes?","A property’s Council Tax band can be deleted if it has been fully demolished, is truly derelict or undergoing major renovation. However, even if significant repair or renovation works are underway, the band cannot be deleted if the property is occupied and being used as a business.","If a property is occupied, it is required legally to have a Council Tax band. We will not delete the band, even if significant repair or renovation works are underway."
r0002,keep,When can a landlord ask for rent in advance?,"After you have signed the tenancy agreement, you can be asked to pay a maximum of 1 month’s rent in advance.","When you have signed the tenancy agreement, you can be asked to pay a maximum of 1 month’s rent in advance."
r0003,keep,What must you do if you cannot identify your PSC or do not have one?,tell Companies House,"If you cannot identify your PSC, or do not have one, you need to tell Companies House."
r0004,keep,What type of document will you need to show your carrier if you were issued a Crown Dependency visa before 1 July 2026?,a physical document,This will be a physical document if you were issued a Crown Dependency visa before 1 July 2026
r0005,keep,How can you get a final death certificate?,"Once the inquest is over, you can get the final death certificate from the registrar.","Once the inquest is over, you can get the final death certificate from the registrar."
r0006,keep,Under what circumstances can an order that has been on hold for 9 months be reinstated?,"Only in exceptional circumstances and at the discretion of OZEV, or if an extension to the usual 9-month deadline has been granted.",Such orders will not be reinstated except in exceptional circumstances and at the discretion of OZEV or if an extension to the usual 9-month deadline has been granted.
r0007,keep,What information should you include when writing to HMRC for a refund?,"an explanation of why you were prevented from selling your previous main home within 3 years
the information listed in the ‘Before you start’ section of this guide","You must include:
an explanation of why you were prevented from selling your previous main home within 3 years
the information listed in the ‘Before you start’ section of this guide"
r0008,rewrite,Which of the following certificates grants exemption according to a footnote?,RSA Certificate in Road Freight Transport,RSA Certificate in Road Freight Transport which specifically contains a footnote granting exemption
r0009,purge,What must happen before you are officially appointed as an appointee?,DWP will not send Form BF57 confirming you’ve been formally appointed to act for the claimant.,If DWP agrees with the application you’ll be sent Form BF57 (confirming you’ve been formally appointed to act for the claimant). You’re not the appointee until this happens.
r0010,rewrite,"What must you be paid at least if you hold a T2, Skilled Worker or Health and Care Worker visa?","at least whichever is the higher out of the following: £41,700 per year the ‘standard going rate’ for the type of work you’ll be doing","You’ll usually need to be paid at least whichever is the higher out of the following:
£41,700 per year
the ‘standard going rate’ for the type of work you’ll be doing"
r0011,keep,"What is the total subsistence rate for a 24-hour period in Managua, Nicaragua?",73.50 plus room rate,"24 hour rate
 73.50 plus room rate"
r0012,keep,"Which of the following is NOT a method used during the security check at the theory test: showing your pockets are empty, rolling up your sleeves, patting yourself down, or providing a urine sample?",providing a urine sample,"show your pockets are empty
roll up your sleeves  
pat yourself down
show the top of your socks"
r0013,keep,What is standard-rated confectionery according to the passage?,"chocolates, sweets and candies, chocolate biscuits and any other ‘items of sweetened prepared food which is normally eaten","Standard-rated confectionery includes chocolates, sweets and candies, chocolate biscuits and any other ‘items of sweetened prepared food which is normally eaten"
r0014,purge,Can a homeowner who runs a business from their home but does not employ anyone be exempt from paying business rates?,"No, they may still need to pay business rates if the property is used for both domestic and business purposes.","you sell goods or services to people who visit your property
you employ other people to work at your property
you’ve made changes to your home for your business"
r0015,keep,What must you do before seeking medical treatment in the USA?,You need to have appropriate health insurance.,Make sure you have appropriate health insurance to cover any healthcare costs.
r0016,purge,What is the difference between roasted pulses and legumes and unflavoured rice cakes?,"Roasted pulses and legumes are not intended for consumption with cheese or other toppings, while unflavoured rice cakes are.","Roasted pulses and legumes, for example chick peas and lentils
 Rice cakes (but not unflavoured rice cakes intended for consumption with cheese or other toppings)"
r0017,keep,Compare the conditions for making exempt supplies under points b and c.,"b) you make exempt supplies, but intend or expect the input tax incurred on your capital expenditure on the property that is attributed to those exempt supplies, including any subsequent adjustments to initial input tax deduction, will not exceed £5,000
c. you expect to be entitled to full credit for all the input tax incurred on your capital expenditure on the property as a result of the application of section 33(2) of the Value Added Tax Act 1994.","b) you make exempt supplies, but intend or expect the input tax incurred on your capital expenditure on the property that is attributed to those exempt supplies, including any subsequent adjustments to initial input tax deduction, will not exceed £5,000
c. you expect to be entitled to full credit for all the input tax incurred on your capital expenditure on the property as a result of the application of section 33(2) of the Value Added Tax Act 1994."
r0018,keep,"What specific form should be used for reporting a medical condition affecting driving when applying for a bus, coach or lorry licence?",form G1V,Fill in form G1V and send it to DVLA. The address is on the form.
r0019,keep,What happens if a landlord improves an exempt property to E-efficiency level?,The landlord can cancel the exemption by going to their account dashboard page and selecting ‘End’ next to the relevant exemption.,If you improve an exempt property to E after having registered an exemption (or stop renting the property out) you can cancel the exemption by going to your account dashboard page and selecting ‘End’ next to the relevant exemption.
r0020,rewrite,Can you receive both a letter and a phone call from NatCen or Walnut at the same time during the research period?,"No, according to the passage, you may receive a letter or phone call from NatCen or Walnut, but not both simultaneously.","From 17 August 2026 up to and including 31 October 2026, you may receive a letter or phone call from NatCen or Walnut."
r0021,keep,Under what circumstances should you contact the Future Pensions Centre instead of the Pension Service?,"If you’ve not reached State Pension age, call the Future Pensions Centre instead.","if you’ve not reached State Pension age, call the Future Pensions Centre instead"
r0022,keep,Under what condition would a property require an assessment for Council Tax?,If the property you’ve moved into doesn’t have a Council Tax band.,"If the property you’ve moved into doesn’t have a Council Tax band, you’ll need to contact your local council. They’ll arrange for your property to be assessed."
r0023,keep,What must you avoid using to fill out the forms?,"Do not use your computer’s browser or, if you are an Apple Macintosh user, the Preview application.","Do not use your computer’s browser or, if you are an Apple Macintosh user, the Preview application."
r0024,purge,How does the processing time for first registrations compare to other complex applications?,"First registrations take about 8 months for half of the cases, while other complex applications might take a few weeks longer depending on the application.","We complete half of all applications to register land or property for the first time in about 8 months. We complete almost all in about 12 months, but a minority might take a few weeks longer depending on the application."
r0025,keep,Which area can be excluded from the calculation of occupied building space according to the RICS 'Code of Measuring Practice'? ,walkways,(in most cases) walkways
r0026,keep,How can you change the amount of deductions for electricity payments?,contact your supplier,"If you want to change the amount you pay, contact your supplier."
r0027,purge,Can past levy payments be credited against future levy liability when a new planning permission creates a revised levy liability for the development?,Yes,Can past levy payments be credited against future levy liability when a new planning permission under section 73 of the TCPA 1990 creates a revised levy liability for the development?
r0028,keep,What form do you need to request from HMRC if you cannot use the NOVA online service?,VAT NOVA1 form,"If you’re unable to use the NOVA online service, ask the imports and exports helpline for a VAT NOVA1 form."
r0029,purge,Do I need to apply for a full licence if my name or address has not changed?,"No, it’ll be sent to you automatically.","Otherwise, it’ll be sent to you automatically."
r0030,purge,"What is the threshold for leaving the Flat Rate Scheme, and how does it compare to the Cash Accounting Scheme's leave threshold?","It is not true that more than £230,000","More than £230,000"
r0031,keep,What must an employee do if they discover their pregnancy after 15 weeks?,Tell the employer as soon as possible.,If this is not possible (for example because they did not know they were pregnant) the employer must be told as soon as possible.
r0032,rewrite,How are the tax codes for different jobs or pensions determined?,"Each job or pension will usually have a different tax code, such as BR (basic rate), D0 (higher rate), or D1 (additional rate).","If you have more than one job or pension, each one will usually have a different tax code."
r0033,purge,What should you do if your payment reference number is not quoted when paying the annual fee?,"HMRC may not be able to match the payment to your business, which could lead to your fee being shown as unpaid and your registration being cancelled.","If you do not complete your annual declaration and pay your annual fee on time,"
