review_id,verdict,question,reference_answer,evidence_quote
r0000,keep,Can an employee use their Work Report to apply for Employment and Support Allowance (ESA)?,No.,and Work Report cannot be used to apply for Employment and Support Allowance (ESA).
r0001,purge,How does the 24-hour rate in Riyadh compare to that in Al Khobar?,"The 24-hour rate in Riyadh is higher, at 484.50 plus room rate compared to 374.50 plus room rate in Al Khobar.","24 hour rate
 484.50 plus room rate
Room rate
 674.50"
r0002,purge,When are the October 25 rotas expected to be published?,It may also be advisable to seek advice from the local planning authority.,We expect to publish the October 25 rotas in early September 25.
r0003,keep,What are the two conditions for a partner to apply for an exemption from Making Tax Digital for Income Tax?,claimed averaging relief using the SA104 supplementary page in your 2024 to 2025 tax return or reasonably expect to claim averaging relief using the SA104 supplementary page in your 2025 to 2026 or 2026 to 2027 tax return,"You will also need to apply for an exemption if as a partner, who would otherwise need to use Making Tax Digital for Income Tax, you either:
claimed averaging relief using the SA104 supplementary page in your 2024 to 2025 tax return
reasonably expect to claim averaging relief using the SA104 supplementary page in your 2025 to 2026 or 2026 to 2027 tax return"
r0004,keep,How long will a partner or child under 18 get permission to stay if included in the application?,30 months,"If you include a partner or children under 18 in your application as ‘dependants’, they’ll usually get permission to stay for 30 months."
r0005,keep,How can I provide feedback on this notice?,email: customerexperience.indirecttaxes@hmrc.gov.uk.,If you have any feedback about this notice email: customerexperience.indirecttaxes@hmrc.gov.uk.
r0006,purge,What additional costs might you incur if you bring a vehicle back to the UK within 6 months of its original export?,"you’ll have to pay: the VAT due at the time the vehicle was originally supplied, duty, if payable, based on the value of the vehicle at the time you import it",natural or synthetic flavourings are zero-rated even if they have no measurable nutritional con
r0007,keep,How does the 24-hour rate in Kigali compare to its room rate?,"The 24-hour rate includes a room rate, making it higher than just the room rate alone.","24 hour rate
39,082 plus room rate"
r0008,rewrite,What should you do if you get Disability Living Allowance or Personal Independence Payment compared to other benefits mentioned?,"Call the Disability Service Centre if you get: Disability Living Allowance (DLA) 
Personal Independence Payment (PIP)","Call the Disability Service Centre if you get:
Disability Living Allowance (DLA)
Personal Independence Payment (PIP)"
r0009,keep,What legislation applies to tree replacement notices?,Regulation 14 of the Town and Country Planning General Regulations 1992,"Regulation 14 of the Town and Country Planning General Regulations 1992 applies sections 276 (power to sell materials removed during work), 289 (power to require occupiers to allow work to be carried out by the owner) and 294 (limit on liability of agents or trustees) of the Public Health Act 1936 to tree replacement notices."
